axis,start_idx,end_idx,start_time,end_time,duration_sec,type,magnitude_kWh
Axis #1,27059,27073,2022-10-18 03:41:37,2022-10-18 03:42:08,31,Alert,4.800619779646692
Axis #1,7310,7331,2022-10-17 16:36:57,2022-10-17 16:37:40,43,Alert,6.080003821195897
Axis #1,36604,36631,2022-10-18 09:01:43,2022-10-18 09:02:38,55,Alert,6.096565555937986
Axis #1,35266,35306,2022-10-18 08:16:51,2022-10-18 08:18:11,80,Alert,4.853817437729029
Axis #1,32680,32701,2022-10-18 06:49:52,2022-10-18 06:50:36,44,Alert,5.927300847755619
Axis #1,24978,24996,2022-10-18 02:31:41,2022-10-18 02:32:19,38,Error,9.651176575443973
Axis #1,31670,31709,2022-10-18 06:16:05,2022-10-18 06:17:23,78,Alert,4.8248260127766045
Axis #1,6577,6598,2022-10-17 16:12:27,2022-10-17 16:13:10,43,Alert,5.584085331012715
Axis #1,7307,7333,2022-10-17 16:36:51,2022-10-17 16:37:44,53,Alert,5.342814560029043
Axis #1,28877,28893,2022-10-18 04:42:38,2022-10-18 04:43:08,30,Error,11.353286135845678
Axis #1,36355,36384,2022-10-18 08:53:25,2022-10-18 08:54:24,59,Error,9.591652850498757
Axis #1,34342,34361,2022-10-18 07:45:47,2022-10-18 07:46:27,40,Error,9.849903434189441
Axis #1,31597,31623,2022-10-18 06:13:35,2022-10-18 06:14:28,53,Error,9.943187299707454
Axis #1,20891,20921,2022-10-18 00:14:22,2022-10-18 00:15:23,61,Alert,5.5851961474284195
Axis #1,9427,9469,2022-10-17 17:48:13,2022-10-17 17:49:36,83,Error,9.39917817309435
Axis #1,12395,12429,2022-10-17 19:28:06,2022-10-17 19:29:14,68,Alert,4.394561925603111
Axis #1,19691,19716,2022-10-17 23:33:59,2022-10-17 23:34:50,51,Alert,4.600259793150446
Axis #1,10211,10233,2022-10-17 18:14:33,2022-10-17 18:15:19,46,Alert,5.148084806887535
Axis #1,22826,22858,2022-10-18 01:19:15,2022-10-18 01:20:20,65,Alert,6.129748863105183
Axis #1,24446,24462,2022-10-18 02:13:49,2022-10-18 02:14:19,30,Alert,6.0776852050414405
Axis #1,19802,19826,2022-10-17 23:37:45,2022-10-17 23:38:35,50,Error,11.09623550237627
Axis #1,17335,17375,2022-10-17 22:14:42,2022-10-17 22:16:00,78,Alert,4.372256426236493
Axis #1,18605,18635,2022-10-17 22:57:29,2022-10-17 22:58:26,57,Alert,6.369764890556173
Axis #1,17258,17284,2022-10-17 22:12:05,2022-10-17 22:12:58,53,Alert,5.446555819933058
Axis #1,16196,16225,2022-10-17 21:36:39,2022-10-17 21:37:34,55,Alert,4.476286260984032
Axis #1,19353,19395,2022-10-17 23:22:37,2022-10-17 23:24:01,84,Alert,5.932515930000793
Axis #1,17044,17060,2022-10-17 22:04:57,2022-10-17 22:05:27,30,Alert,4.33691650070915
Axis #1,29978,30019,2022-10-18 05:19:21,2022-10-18 05:20:42,81,Alert,5.383580369673344
Axis #1,12061,12101,2022-10-17 19:16:52,2022-10-17 19:18:12,80,Error,12.758393769745847
Axis #1,12643,12662,2022-10-17 19:36:28,2022-10-17 19:37:08,40,Error,10.107900375488342
Axis #1,32196,32220,2022-10-18 06:33:36,2022-10-18 06:34:26,50,Error,11.481935606631712
Axis #1,9064,9101,2022-10-17 17:36:01,2022-10-17 17:37:15,74,Alert,5.241710672875907
Axis #1,6008,6031,2022-10-17 15:53:30,2022-10-17 15:54:13,43,Error,9.422940076187041
Axis #1,1200,1240,2022-10-17 13:10:54,2022-10-17 13:12:14,80,Alert,5.251299793222919
Axis #1,34048,34062,2022-10-18 07:35:53,2022-10-18 07:36:20,27,Alert,5.1032991521834195
Axis #1,25391,25419,2022-10-18 02:45:37,2022-10-18 02:46:34,57,Error,9.78043861936107
Axis #1,27271,27308,2022-10-18 03:48:45,2022-10-18 03:49:59,74,Alert,5.924464014149309
Axis #1,11623,11648,2022-10-17 19:02:06,2022-10-17 19:02:57,51,Alert,4.821076542980199
Axis #1,14691,14724,2022-10-17 20:45:54,2022-10-17 20:47:04,70,Alert,5.648768670637871
Axis #1,21594,21621,2022-10-18 00:37:51,2022-10-18 00:38:42,51,Error,9.923799354420659
Axis #1,38079,38106,2022-10-18 09:51:25,2022-10-18 09:52:17,52,Alert,5.793158452668101
Axis #1,27284,27311,2022-10-18 03:49:10,2022-10-18 03:50:05,55,Alert,4.637737754233731
Axis #1,18322,18336,2022-10-17 22:47:57,2022-10-17 22:48:23,26,Alert,4.912367186967761
Axis #1,7140,7167,2022-10-17 16:31:17,2022-10-17 16:32:08,51,Alert,5.750379755392568
Axis #1,9069,9091,2022-10-17 17:36:11,2022-10-17 17:36:56,45,Alert,6.388760238043619
Axis #1,28739,28763,2022-10-18 04:38:00,2022-10-18 04:38:45,45,Alert,6.4465269279966515
Axis #1,336,361,2022-10-17 12:36:20,2022-10-17 12:37:11,51,Alert,6.307519874248905
Axis #1,3185,3226,2022-10-17 14:17:33,2022-10-17 14:18:55,82,Error,9.273974783128818
Axis #1,7102,7145,2022-10-17 16:29:59,2022-10-17 16:31:26,87,Error,12.520339758509385
Axis #1,18262,18295,2022-10-17 22:45:55,2022-10-17 22:47:02,67,Alert,5.005900333722446
Axis #1,606,628,2022-10-17 12:45:23,2022-10-17 12:46:09,46,Alert,5.749669877135636
Axis #1,10516,10534,2022-10-17 18:24:52,2022-10-17 18:25:26,34,Alert,6.329478166476542
Axis #1,18477,18507,2022-10-17 22:53:11,2022-10-17 22:54:08,57,Alert,6.31917374526871
Axis #1,37489,37524,2022-10-18 09:31:32,2022-10-18 09:32:43,71,Alert,6.2692819617796935
Axis #1,11584,11601,2022-10-17 19:00:48,2022-10-17 19:01:20,32,Alert,4.579474245877644
Axis #1,30116,30130,2022-10-18 05:23:55,2022-10-18 05:24:26,31,Alert,5.974185120701959
Axis #1,9495,9536,2022-10-17 17:50:29,2022-10-17 17:51:50,81,Alert,4.633398987398476
Axis #1,25867,25903,2022-10-18 03:01:38,2022-10-18 03:02:50,72,Alert,5.175678282852578
Axis #1,31895,31927,2022-10-18 06:23:35,2022-10-18 06:24:40,65,Alert,5.819415292464346
Axis #1,30987,31030,2022-10-18 05:53:06,2022-10-18 05:54:36,90,Alert,6.402796176886447
Axis #1,21832,21869,2022-10-18 00:45:49,2022-10-18 00:47:03,74,Alert,5.495775167398884
Axis #1,9693,9728,2022-10-17 17:57:08,2022-10-17 17:58:19,71,Alert,5.959505276488606
Axis #1,10483,10518,2022-10-17 18:23:41,2022-10-17 18:24:56,75,Alert,6.461068770409543
Axis #1,15874,15914,2022-10-17 21:25:46,2022-10-17 21:27:09,83,Alert,6.314599810274195
Axis #1,31322,31347,2022-10-18 06:04:25,2022-10-18 06:05:16,51,Error,10.673622964850846
Axis #1,8424,8451,2022-10-17 17:14:39,2022-10-17 17:15:33,54,Alert,4.496746874413513
Axis #1,5432,5449,2022-10-17 15:34:19,2022-10-17 15:34:51,32,Alert,6.004934823834714
Axis #1,9099,9124,2022-10-17 17:37:11,2022-10-17 17:38:02,51,Alert,5.314714526944624
Axis #1,12278,12300,2022-10-17 19:24:12,2022-10-17 19:24:54,42,Alert,4.903688628245416
Axis #1,33776,33819,2022-10-18 07:26:41,2022-10-18 07:28:11,90,Error,10.25122622053421
Axis #1,18310,18325,2022-10-17 22:47:30,2022-10-17 22:48:02,32,Alert,5.114293396315474
Axis #1,27241,27268,2022-10-18 03:47:44,2022-10-18 03:48:39,55,Error,10.019291573251115
Axis #1,5749,5770,2022-10-17 15:44:53,2022-10-17 15:45:32,39,Error,10.548369942953006
Axis #1,36334,36350,2022-10-18 08:52:42,2022-10-18 08:53:16,34,Alert,4.384104076728753
Axis #1,28787,28813,2022-10-18 04:39:35,2022-10-18 04:40:29,54,Error,10.664996710685823
Axis #1,37763,37793,2022-10-18 09:40:47,2022-10-18 09:41:47,60,Alert,4.784403698828896
Axis #1,13536,13569,2022-10-17 20:06:29,2022-10-17 20:07:36,67,Alert,6.268892038640806
Axis #1,38565,38579,2022-10-18 10:07:46,2022-10-18 10:08:13,27,Alert,5.830606145098053
Axis #1,24885,24905,2022-10-18 02:28:34,2022-10-18 02:29:15,41,Error,9.114430340691568
Axis #1,22261,22296,2022-10-18 01:00:14,2022-10-18 01:01:28,74,Error,11.996262168393757
Axis #1,30426,30451,2022-10-18 05:34:21,2022-10-18 05:35:13,52,Error,8.770754270031
Axis #1,4205,4241,2022-10-17 14:51:55,2022-10-17 14:53:06,71,Alert,5.580100972058358
Axis #1,17077,17108,2022-10-17 22:06:03,2022-10-17 22:07:06,63,Alert,4.927800991359244
Axis #1,15484,15528,2022-10-17 21:12:37,2022-10-17 21:14:08,91,Alert,5.95815786225919
Axis #1,19384,19415,2022-10-17 23:23:40,2022-10-17 23:24:43,63,Error,10.98544587666087
Axis #1,14163,14180,2022-10-17 20:28:08,2022-10-17 20:28:45,37,Error,9.454298130412637
Axis #1,35260,35280,2022-10-18 08:16:40,2022-10-18 08:17:18,38,Alert,6.38546995317554
Axis #1,8319,8341,2022-10-17 17:11:10,2022-10-17 17:11:55,45,Alert,5.311303272454387
Axis #1,5896,5927,2022-10-17 15:49:45,2022-10-17 15:50:48,63,Alert,5.085039023047956
Axis #1,29769,29803,2022-10-18 05:12:26,2022-10-18 05:13:33,67,Error,9.657328938207131
Axis #1,37435,37462,2022-10-18 09:29:42,2022-10-18 09:30:37,55,Alert,4.493455037676912
Axis #1,27965,27989,2022-10-18 04:12:02,2022-10-18 04:12:47,45,Alert,6.422809569126242
Axis #1,10871,10896,2022-10-17 18:36:49,2022-10-17 18:37:36,47,Alert,5.985650085850761
Axis #1,16747,16774,2022-10-17 21:55:03,2022-10-17 21:55:54,51,Error,10.777843642998532
Axis #1,316,341,2022-10-17 12:35:38,2022-10-17 12:36:29,51,Alert,4.5390622302283665
Axis #1,7186,7227,2022-10-17 16:32:48,2022-10-17 16:34:09,81,Alert,4.487156736090283
